slab_number,energy
31,11.730315705135581
43,4.832758061684217
31,0.0
31,0.058165539357836846
43,0.02558201256493417
22,16.877713950816542
22,-6.565843332462638
34,0.016696255222977963
21,10.55653963003715
38,0.0
36,0.022901555288401647
32,0.0
42,0.012594080166539567
42,0.009520575992414432
65,7.949619172973144
32,0.011083723996165258
65,0.24208553077130945
38,3.3602178501843802
38,-3.5672390134383343
28,0.09682490043659789
36,0.08639814486238384
31,0.0
29,7.9936608368880115
64,7.462225249852054
37,0.0
56,0.0
29,0.0
29,0.0
40,1.9465807272952111
27,0.06061089882801299
19,9.78493246882772
48,9.3213608050537
29,15.591477656319512
43,0.001442459196184298
28,9.122676039216685
51,10.17942403041252
29,11.049251674849074
44,9.091467825095606
65,6.273916912483401
61,1.1334390253650781
42,0.014819670253705841
54,8.089747054735199
46,0.0
23,0.0
54,0.024385124233459905
54,7.919880606553647
54,0.007956195370611166
54,-0.047337774015059585
54,0.0
54,0.004807595822334254
54,0.0
54,0.0
31,6.701437010381742
42,0.0
31,-3.0162349487007485
54,9.038135080114667
54,-0.09680895699660275
31,0.0
54,0.0
54,0.0
31,7.105702680637478
42,13.682297774445033
42,-3.081857896769036
49,7.711475790394616
56,8.48835231501289
41,0.0
48,0.0
59,0.0
60,10.795220269617857
61,7.32607070301674
61,0.0
61,8.489160892392354
61,-0.8960351716719764
57,9.837337516486514
57,0.04205814702590622
27,9.589132118708221
40,9.259186754381517
59,10.438123901323706
25,10.66460420205658
56,13.718774513431526
47,0.07047417698234126
47,0.0118687775615113
18,7.321905473327206
56,7.631281504675826
36,0.0
51,0.0
33,7.862224040458386
60,8.516795539198938
37,9.121706913188973
60,8.180081106977013
49,7.813884199622407
56,8.883130854763294
64,15.956495406415343
35,8.096796845510198
58,8.777687977536061
36,0.009290124540746979
22,0.001960481325643193
22,0.013573433516353005
35,0.0
58,0.11334849443239531
23,0.12115393157910148
19,1.0635637166888046
65,0.0021844484693764182
29,0.23407751557500134
22,0.0
23,0.0
24,0.0
21,0.0
61,6.244673976411605
49,9.629124027565354
56,10.025728460978826
55,9.928826828888134
49,10.150444419933592
56,9.723311100788408
55,11.032442292781866
42,0.0
34,0.0
55,-0.024739967417621887
20,11.06516328662019
20,-1.2502382119808697
40,13.271930831851932
55,10.090424434954912
20,0.799027659443571
52,0.13963825538414448
40,0.0
55,0.0
36,0.0
63,0.003968480341600314
63,0.0
19,1.1206684267590146
24,0.019562639819125822
53,10.77733713791531
60,8.106469981445116
28,10.495261441159755
24,12.752190242352299
51,8.579178589792718
24,-4.502661779641649
24,0.0
35,0.0
50,0.0
20,0.0
31,0.06855381710468447
58,0.0
23,7.877795372844048
42,7.275171740200676
19,0.02684828028231357
43,10.448000883639907
43,8.970299123320729
31,0.0
59,11.307591704702645
59,-0.02595378693345767
48,0.001999451970359816
59,0.006963836052026537
20,16.204582621138798
20,-8.157945691739052
59,0.0
55,0.0
36,0.07628481865807496
59,0.030398270878025657
44,0.0
32,0.018606838370374912
44,0.0
48,10.47067438359204
51,0.0
39,0.0
36,12.356138311348332
59,14.174721970095561
59,-4.64282415174382
36,0.04247800407624766
55,13.000838019677076
43,9.428879608803754
58,12.768466742106511
45,0.06020033450091773
19,13.125961749108683
22,6.026808054542926
26,1.6203170026055886
22,-1.9027905566947392
30,0.0
27,12.98495767422719
42,9.751526781154098
63,11.566418932295164
63,-2.310616855271544
20,8.841318731046613
47,6.940213845418839
30,0.22618937877199297
47,0.03211123073345769
24,0.026861199314042523
21,0.011116559185871122
20,0.00013978907020550935
18,1.0238727690168892
25,12.765850259107538
60,13.426815716025885
65,0.008608818034425605
60,-1.5568095430946212
29,0.0
25,0.0
52,0.006902990872158232
48,0.0043348819909631575
37,0.0
25,0.0
25,28.358402631945285
36,0.0
31,0.13223493522449148
23,0.0
25,-20.822925535140836
21,0.0
25,0.0
60,0.0
29,0.0
25,0.0
20,0.05286837506182569
32,0.0028621765832466256
52,10.403150656107755
43,10.461341007265219
51,0.0
58,0.0
52,0.0
48,0.033069454229714634
48,0.0
45,16.558615494137484
28,11.530968697688877
31,15.04567314200176
31,-0.032338320329876546
28,12.156519458942057
32,0.0
59,0.0
24,0.0
39,0.0
20,10.76604397455958
39,205.83418044765858
39,-191.3901111980148
21,0.26122996311051155
27,7.653634002490435
55,0.34909114789660345
44,0.10655588370583333
41,0.0
50,0.03455189534352736
18,1.178825746784384
18,0.0
38,0.0
18,0.0
18,11.860256856019987
26,0.0
46,0.0
38,8.75025734141309
30,0.0
19,0.0
54,0.0
25,0.0028225969220255914
37,0.0
32,12.953320827113203
63,10.346242679088391
21,8.938077375642024
48,34.99284249910852
48,-27.21192823281711
21,0.0
56,2.055329465084129
21,0.0
48,0.0
32,0.0
43,0.07537796764971837
33,15.711659243926988
56,9.611072453313682
56,-0.8434012702914055
56,-0.804824240541445
56,-0.04145772865670189
33,-5.837231515883659
39,10.07842392009843
25,11.721521623025183
21,0.11726626378993896
40,7.898073162428773
25,11.21440665863338
25,-0.011066207456488699
25,0.0
29,0.0
46,0.03076812851539576
24,0.0
51,0.014435616412105626
47,0.011858145565086131
41,173.492704209988
41,-8.910565048964584
64,8.590777151416688
41,-0.6843921655906449
41,-122.13685652170876
41,-0.5048274628817288
41,-22.84022613731112
41,-0.362158816687897
29,0.2647115917826166
48,0.0
41,0.0012732226835989735
37,0.0
41,0.0
41,0.0861638463929689
47,0.018980651199584225
27,0.0
28,0.01239130136547184
28,0.17492232746488362
40,0.0
41,0.05149277980025119
53,0.07692279804392495
41,0.022571329594398545
57,11.633027544132347
45,22.93741038056396
28,12.970691967788298
57,0.04264045922062035
57,0.03200851785845156
41,0.0
60,0.019771231043406584
48,0.01750758851632897
52,0.05203808296994199
48,0.0
54,4.486131906985065
61,11.438646771472122
21,21.593690776229778
36,9.628991493285866
24,10.974595093844982
39,10.603057380125392
21,-0.11100286356410728
48,0.0
59,0.0
21,0.0
32,0.0
47,0.0
